CREATOR DATABASE — SPECIFIC GMV STRATEGY ANALYSIS
Generated: 29/08/2026 10:46:20 WIB
Timezone for daily reporting: Indonesia/WIB (Asia/Jakarta)
Functional strategy change (STRATEGY_CHANGE_TIME): 26/08/2026 12:45:35 WIB / 2026-08-26T05:45:35.507Z
Durable evidence: GMV_ALL_DISABLED_BY_STRATEGY event at 05:45:35.507 UTC, followed by the first specific-GMV partition start at 05:46:05.959 UTC. Migration seeds (21,800) were materialized earlier at 05:06:28.942 UTC; 5,456 GMV-All partitions are retained disabled history.
Scope: read-only snapshot; main page metrics use COMMITTED receipts so uncommitted/staged pages do not inflate discovery results. Marketplace attempt outcomes are event-derived (success + throttle + error).

============================================================
EXECUTIVE SUMMARY
============================================================
Post-change committed window: 26/08/2026 12:45:35 WIB to 29/08/2026 10:41:51 WIB (69h 56m calendar; 63h 22m active-runtime estimate).
Post-change: 23,488 new creators from 66,114 returned rows / 3,347 committed pages; unique 35.5%, duplicate 64.5%; 8,060.2 new/day calendar and 8,897.1 new/day active runtime.
Matched old GMV-All window: 23/08/2026 14:49:19 WIB to 26/08/2026 12:45:35 WIB; 10,034 new creators; unique 33.4%; 3,443.3 calendar new/day and 7,785.9 active-runtime new/day.
Current best observed GMV efficiency by new/page: G1 Low (8.72 new/page). Evidence is early and execution-order-confounded.
Conclusion: SUPPORTED — removing GMV All improved/changed the observed matched-period new/page rate by +5.7% and unique rate by +2.1 pp; rate conclusions retain active-time and ordering limitations below.

============================================================
BEFORE VS AFTER — MATCHED WINDOWS
============================================================
Metric                      Old GMV All       Specific GMV      Change          
--------------------------  ----------------  ----------------  ----------------
Committed successful page…  1,512             3,347             +121.4%         
Marketplace attempts        18,540            28,905            +55.9%          
Rows returned               30,026            66,114            +120.2%         
New unique creators         10,034            23,488            +134.1%         
Unique rate                 33.4%             35.5%             +2.1 pp         
Duplicate rate              66.6%             64.5%             -2.1 pp         
New / page                  6.64              7.02              +5.7%           
New / attempt               0.54              0.81              +50.1%          
New / hour calendar         143.47            335.84            +134.1%         
New / hour active           324.41            370.71            +14.3%          
New / day calendar          3,443.29          8,060.18          +134.1%         
New / day active            7,785.85          8,897.06          +14.3%          
Throttle %                  90.7%             87.7%             -3.1 pp         
Strict 24h before vs first 24h after:
Metric                    24h before        First 24h after     Change          
------------------------  ----------------  ------------------  ----------------
New creators              2,074             7,525               +262.8%         
Unique rate               37.6%             40.3%               +2.8 pp         
New/page                  7.43              7.91                +6.4%           
New/day calendar          2,074.00          7,525.00            +262.8%         
Historical GMV-All baseline (all durable executed GMV-All partitions, not time-matched): 95,544 new from 272,741 rows / 13,851 pages; unique 35.0%, new/page 6.90. It is contextual only, not used as the causal matched comparison.

============================================================
DAILY FETCH RATE (WIB)
============================================================
Date           Active     Pages   Attempt…  Rows     New      Dup      Unique    Dup %     Throttl…  Thr %     New/Page   New/Hr    New/Day  
-------------  ---------  ------  --------  -------  -------  -------  --------  --------  --------  --------  ---------  --------  ---------
2026-08-26*    11h 14m    379     4,292     7,362    3,945    3,417    53.6%     46.4%     3,881     90.4%     10.41      351.31    8,431.56 
2026-08-27     21h 20m    797     9,093     15,701   4,689    11,012   29.9%     70.1%     8,266     90.9%     5.88       219.72    5,273.40 
2026-08-28     20h 4m     1,341   10,027    26,549   8,808    17,741   33.2%     66.8%     8,616     85.9%     6.57       438.85    10,532.4…
2026-08-29*    10h 42m    830     5,493     16,502   6,046    10,456   36.6%     63.4%     4,581     83.4%     7.28       565.19    13,564.4…
* PARTIAL DAY. Rates are normalized to its observed calendar/active span, not presented as a full 24-hour count.
Most recent complete 24h ending 29/08/2026 10:41:51 WIB: 13,268 new; 13,268.0 calendar new/day; 13,932.5 active-runtime new/day.

============================================================
GMV PERFORMANCE — POST CHANGE
============================================================
GMV             Partition…  Pages    Attempts   Rows      New       Dup       Unique %   Dup %     Rows/Pg   New/Pg    New/Attemp…  New share   Attempt s…
--------------  ----------  -------  ---------  --------  --------  --------  ---------  --------  --------  --------  -----------  ----------  ----------  -----------
G1 Low          85          1,697    14,265     33,455    14,790    18,665    44.2%      55.8%     19.71     8.72      1.04         63.0%       49.4%     
G2 Medium       62          1,113    9,156      22,095    7,386     14,709    33.4%      66.6%     19.85     6.64      0.81         31.4%       31.7%     
G3 High         30          499      5,025      9,934     1,308     8,626     13.2%      86.8%     19.91     2.62      0.26         5.6%        17.4%     
G4 Very High    13          38       459        630       4         626       0.6%       99.4%     16.58     0.11      0.01         0.0%        1.6%      

============================================================
FOLLOWER RANGE PERFORMANCE — EXACT OBSERVED RANGES
============================================================
Follower range        Pages    Attempts   Rows      New       Dup       Unique %   Dup %     New/Page   New/Attemp…  Share new 
4,375–4,499           32       99         635       235       400       37.0%      63.0%     7.34       2.37         1.0%      
4,500–4,624           32       255        625       93        532       14.9%      85.1%     2.91       0.36         0.4%      
4,500–4,749           40       168        799       170       629       21.3%      78.7%     4.25       1.01         0.7%      
4,500–4,999           60       395        1,200     173       1,027     14.4%      85.6%     2.88       0.44         0.7%      
4,625–4,749           32       261        625       126       499       20.2%      79.8%     3.94       0.48         0.5%      
4,750–4,874           20       436        400       107       293       26.8%      73.3%     5.35       0.25         0.5%      
4,750–4,999           40       316        796       149       647       18.7%      81.3%     3.73       0.47         0.6%      
4,875–4,999           20       168        400       119       281       29.8%      70.3%     5.95       0.71         0.5%      
5,000–5,312           20       194        400       167       233       41.8%      58.3%     8.35       0.86         0.7%      
5,000–5,624           20       49         400       216       184       54.0%      46.0%     10.80      4.41         0.9%      
5,000–6,249           40       176        800       352       448       44.0%      56.0%     8.80       2.00         1.5%      
5,000–7,499           71       355        1,388     792       596       57.1%      42.9%     11.15      2.23         3.4%      
5,313–5,468           20       210        400       201       199       50.2%      49.8%     10.05      0.96         0.9%      
5,313–5,624           20       92         400       225       175       56.3%      43.8%     11.25      2.45         1.0%      
5,469–5,624           20       137        400       199       201       49.8%      50.2%     9.95       1.45         0.8%      
5,625–5,937           20       120        400       200       200       50.0%      50.0%     10.00      1.67         0.9%      
5,625–6,249           20       39         400       263       137       65.8%      34.3%     13.15      6.74         1.1%      
5,938–6,249           20       183        400       200       200       50.0%      50.0%     10.00      1.09         0.9%      
6,250–6,562           36       115        715       301       414       42.1%      57.9%     8.36       2.62         1.3%      
6,250–6,874           40       191        800       355       445       44.4%      55.6%     8.88       1.86         1.5%      
6,250–7,499           40       225        800       502       298       62.7%      37.3%     12.55      2.23         2.1%      
6,563–6,874           35       422        690       302       388       43.8%      56.2%     8.63       0.72         1.3%      
6,875–7,187           33       104        656       240       416       36.6%      63.4%     7.27       2.31         1.0%      
6,875–7,499           40       167        800       431       369       53.9%      46.1%     10.78      2.58         1.8%      
7,188–7,499           32       144        628       237       391       37.7%      62.3%     7.41       1.65         1.0%      
7,500–7,656           30       317        586       312       274       53.2%      46.8%     10.40      0.98         1.3%      
7,500–8,749           7        22         140       29        111       20.7%      79.3%     4.14       1.32         0.1%      
7,500–9,999           60       522        1,200     223       977       18.6%      81.4%     3.72       0.43         0.9%      
9,063–9,218           29       305        553       254       299       45.9%      54.1%     8.76       0.83         1.1%      
9,219–9,374           28       152        543       256       287       47.1%      52.9%     9.14       1.68         1.1%      
Canonical follower buckets from packages/domain (exact bounds only; adaptive descendants remain in the observed-range table above):
Canonical range         Pages    Attempts   Rows      New       Dup       Unique %   New/Page 
----------------------  -------  ---------  --------  --------  --------  ---------  ---------
600–799                 62       958        1,206     798       408       66.2%      12.87    
800–999                 62       281        1,219     785       434       64.4%      12.66    
1,000–1,499             64       481        1,249     494       755       39.6%      7.72     
1,500–1,999             64       1,003      1,252     596       656       47.6%      9.31     
2,000–2,999             67       813        1,307     316       991       24.2%      4.72     
3,000–3,999             66       633        1,299     547       752       42.1%      8.29     
4,000–4,999             64       226        1,280     548       732       42.8%      8.56     
5,000–7,499             71       355        1,388     792       596       57.1%      11.15    
7,500–9,999             60       522        1,200     223       977       18.6%      3.72     
10,000–14,999           0        0          0         0         0         0.0%       0.00     
15,000–24,999           0        0          0         0         0         0.0%       0.00     
25,000–34,999           0        0          0         0         0         0.0%       0.00     
35,000–49,999           0        0          0         0         0         0.0%       0.00     
50,000–74,999           0        0          0         0         0         0.0%       0.00     
75,000–99,999           0        0          0         0         0         0.0%       0.00     
100,000–149,999         0        0          0         0         0         0.0%       0.00     
150,000–249,999         0        0          0         0         0         0.0%       0.00     
250,000–349,999         0        0          0         0         0         0.0%       0.00     
350,000–499,999         0        0          0         0         0         0.0%       0.00     
500,000–749,999         0        0          0         0         0         0.0%       0.00     
750,000–999,999         0        0          0         0         0         0.0%       0.00     
1,000,000–1,499,999     0        0          0         0         0         0.0%       0.00     
1,500,000–2,499,999     0        0          0         0         0         0.0%       0.00     
2,500,000–4,999,999     0        0          0         0         0         0.0%       0.00     
5,000,000–+             0        0          0         0         0         0.0%       0.00     
Grouped summary (all executed exact ranges, including adaptive descendants):
Group             Pages    Attempts   Rows      New       Unique %   New/Page   Share new 
----------------  -------  ---------  --------  --------  ---------  ---------  ----------
1K–4,999          2,542    23,425     50,190    15,648    31.2%      6.16       66.6%     
5K–9,999          681      4,241      13,499    6,257     46.4%      9.19       26.6%     
600–999           124      1,239      2,425     1,583     65.3%      12.77      6.7%      

============================================================
CATEGORY PERFORMANCE
============================================================
Ranking threshold: at least 100 returned rows. Categories with execution: 3; sufficiently sampled: 3.
Top 20 by new creators:
Category                                      Pages    Rows      New       Dup       Unique %   New/Page   New/Attemp…
--------------------------------------------  -------  --------  --------  --------  ---------  ---------  -----------
Perlengkapan Rumah → Home Organizer           3,174    62,767    21,864    40,903    34.8%      6.89       0.83       
Perlengkapan Rumah → Perlengkapan Rumah Lai…  87       1,682     822       860       48.9%      9.45       1.06       
Peralatan Dapur → Peralatan Teh & Kopi        86       1,665     802       863       48.2%      9.33       0.45       
Top 20 by unique % (meaningful sample):
Category                                            Rows      New       Unique %   New/Page 
--------------------------------------------------  --------  --------  ---------  ---------
Perlengkapan Rumah → Perlengkapan Rumah Lainnya     1,682     822       48.9%      9.45     
Peralatan Dapur → Peralatan Teh & Kopi              1,665     802       48.2%      9.33     
Perlengkapan Rumah → Home Organizer                 62,767    21,864    34.8%      6.89     
Worst 20 by duplicate % (meaningful sample):
Category                                            Rows      New       Dup %     New/Page 
--------------------------------------------------  --------  --------  --------  ---------
Perlengkapan Rumah → Home Organizer                 62,767    21,864    65.2%     6.89     
Peralatan Dapur → Peralatan Teh & Kopi              1,665     802       51.8%     9.33     
Perlengkapan Rumah → Perlengkapan Rumah Lainnya     1,682     822       51.1%     9.45     

============================================================
SAME CATEGORY + FOLLOWERS — GMV SIBLING COMPARISON
============================================================
Sufficient-family threshold: >=20 returned rows in every observed GMV sibling. Families: 55. Ties count for every tied bucket.
Bucket              Best unique-rate    Worst unique-rate    First executed  
------------------  ------------------  -------------------  ----------------
G1 Low              89.1%               5.5%                 87.3%           
G2 Medium           10.9%               52.7%                12.7%           
G3 High             0.0%                30.9%                0.0%            
G4 Very High        0.0%                10.9%                0.0%            
Raw unique rate when the first sibling executed: 40.9% (8,671/21,197); later siblings: 27.5% (8,303/30,200). This is evidence of order sensitivity, not a causal bucket effect.
Representative sufficiently sampled families (ordered by largest unique-rate spread):
Category / Followers                              GMV             Rows     New      Unique %   New/Page   First run           
------------------------------------------------  --------------  -------  -------  ---------  ---------  --------------------
Perlengkapan Rumah → Home Organizer / 5,000–7,4…  G1 Low          401      391      97.5%      18.62      28/08/2026 23:41:02…
Perlengkapan Rumah → Home Organizer / 5,000–7,4…  G2 Medium       400      370      92.5%      18.50      29/08/2026 00:51:46…
Perlengkapan Rumah → Home Organizer / 5,000–7,4…  G3 High         400      31       7.8%       1.55       29/08/2026 02:44:07…
Perlengkapan Rumah → Home Organizer / 5,000–7,4…  G4 Very High    187      0        0.0%       0.00       29/08/2026 04:23:37…
Perlengkapan Rumah → Home Organizer / 1,500–1,9…  G1 Low          401      322      80.3%      15.33      27/08/2026 05:04:39…
Perlengkapan Rumah → Home Organizer / 1,500–1,9…  G2 Medium       400      241      60.3%      12.05      27/08/2026 07:14:26…
Perlengkapan Rumah → Home Organizer / 1,500–1,9…  G3 High         400      32       8.0%       1.60       27/08/2026 10:47:32…
Perlengkapan Rumah → Home Organizer / 1,500–1,9…  G4 Very High    51       1        2.0%       0.33       27/08/2026 11:22:23…
Perlengkapan Rumah → Home Organizer / 1,000–1,4…  G1 Low          405      292      72.1%      13.90      26/08/2026 21:03:53…
Perlengkapan Rumah → Home Organizer / 1,000–1,4…  G2 Medium       400      179      44.8%      8.95       26/08/2026 23:24:29…
Perlengkapan Rumah → Home Organizer / 1,000–1,4…  G3 High         400      22       5.5%       1.10       27/08/2026 02:11:59…
Perlengkapan Rumah → Home Organizer / 1,000–1,4…  G4 Very High    44       1        2.3%       0.33       27/08/2026 05:02:43…
Perlengkapan Rumah → Home Organizer / 4,000–4,9…  G1 Low          400      278      69.5%      13.90      28/08/2026 19:07:09…
Perlengkapan Rumah → Home Organizer / 4,000–4,9…  G2 Medium       400      238      59.5%      11.90      28/08/2026 20:33:23…
Perlengkapan Rumah → Home Organizer / 4,000–4,9…  G3 High         400      32       8.0%       1.60       28/08/2026 21:41:30…
Perlengkapan Rumah → Home Organizer / 4,000–4,9…  G4 Very High    80       0        0.0%       0.00       28/08/2026 22:53:16…
Perlengkapan Rumah → Home Organizer / 3,000–3,9…  G1 Low          401      267      66.6%      12.71      28/08/2026 08:35:43…
Perlengkapan Rumah → Home Organizer / 3,000–3,9…  G2 Medium       400      243      60.8%      12.15      28/08/2026 12:33:57…
Perlengkapan Rumah → Home Organizer / 3,000–3,9…  G3 High         400      37       9.3%       1.85       28/08/2026 16:32:45…
Perlengkapan Rumah → Home Organizer / 3,000–3,9…  G4 Very High    98       0        0.0%       0.00       28/08/2026 17:50:47…
Perlengkapan Rumah → Home Organizer / 2,000–2,9…  G1 Low          402      240      59.7%      11.43      27/08/2026 14:23:17…
Perlengkapan Rumah → Home Organizer / 2,000–2,9…  G2 Medium       400      55       13.8%      2.75       27/08/2026 16:04:55…
Perlengkapan Rumah → Home Organizer / 2,000–2,9…  G3 High         399      20       5.0%       1.00       28/08/2026 02:53:02…
Perlengkapan Rumah → Home Organizer / 2,000–2,9…  G4 Very High    106      1        0.9%       0.17       28/08/2026 05:57:13…
Perlengkapan Rumah → Home Organizer / 3,125–3,2…  G1 Low          400      213      53.3%      10.65      28/08/2026 13:50:42…
Perlengkapan Rumah → Home Organizer / 3,125–3,2…  G2 Medium       400      195      48.8%      9.75       28/08/2026 18:49:43…
Perlengkapan Rumah → Home Organizer / 3,125–3,2…  G3 High         198      6        3.0%       0.60       29/08/2026 00:14:30…
Perlengkapan Rumah → Home Organizer / 1,750–1,9…  G1 Low          401      216      53.9%      10.29      27/08/2026 06:08:31…
Perlengkapan Rumah → Home Organizer / 1,750–1,9…  G2 Medium       400      212      53.0%      10.60      27/08/2026 08:27:31…
Perlengkapan Rumah → Home Organizer / 1,750–1,9…  G3 High         400      42       10.5%      2.10       27/08/2026 12:14:12…
Perlengkapan Rumah → Home Organizer / 3,000–3,1…  G1 Low          400      184      46.0%      9.20       28/08/2026 13:23:31…
Perlengkapan Rumah → Home Organizer / 3,000–3,1…  G2 Medium       400      197      49.3%      9.85       28/08/2026 18:29:11…
Perlengkapan Rumah → Home Organizer / 3,000–3,1…  G3 High         233      17       7.3%       1.42       29/08/2026 00:05:25…
Perlengkapan Rumah → Home Organizer / 7,188–7,4…  G1 Low          400      208      52.0%      10.40      29/08/2026 05:46:51…
Perlengkapan Rumah → Home Organizer / 7,188–7,4…  G2 Medium       228      29       12.7%      2.42       29/08/2026 04:35:50…
Perlengkapan Rumah → Home Organizer / 1,250–1,4…  G1 Low          401      168      41.9%      8.00       26/08/2026 21:47:28…
Perlengkapan Rumah → Home Organizer / 1,250–1,4…  G2 Medium       400      94       23.5%      4.70       27/08/2026 01:52:29…
Perlengkapan Rumah → Home Organizer / 1,250–1,4…  G3 High         400      28       7.0%       1.40       27/08/2026 03:37:23…
Perlengkapan Rumah → Home Organizer / 4,250–4,3…  G1 Low          400      201      50.2%      10.05      28/08/2026 21:27:27…
Perlengkapan Rumah → Home Organizer / 4,250–4,3…  G2 Medium       252      41       16.3%      3.15       28/08/2026 22:54:26…
Perlengkapan Rumah → Home Organizer / 3,000–3,4…  G1 Low          400      190      47.5%      9.50       28/08/2026 10:32:04…
Perlengkapan Rumah → Home Organizer / 3,000–3,4…  G2 Medium       400      172      43.0%      8.60       28/08/2026 14:14:31…
Perlengkapan Rumah → Home Organizer / 3,000–3,4…  G3 High         400      55       13.8%      2.75       28/08/2026 18:38:00…
Perlengkapan Rumah → Home Organizer / 4,375–4,4…  G1 Low          400      191      47.8%      9.55       28/08/2026 21:58:18…
Perlengkapan Rumah → Home Organizer / 4,375–4,4…  G2 Medium       235      44       18.7%      3.67       28/08/2026 22:58:39…
Perlengkapan Rumah → Home Organizer / 6,875–7,1…  G1 Low          400      189      47.3%      9.45       29/08/2026 05:35:25…
Perlengkapan Rumah → Home Organizer / 6,875–7,1…  G2 Medium       256      51       19.9%      3.92       29/08/2026 04:29:47…
Perlengkapan Rumah → Home Organizer / 1,125–1,2…  G1 Low          403      212      52.6%      10.10      27/08/2026 01:25:45…
Perlengkapan Rumah → Home Organizer / 1,125–1,2…  G2 Medium       400      102      25.5%      5.10       27/08/2026 04:14:28…
Perlengkapan Rumah → Home Organizer / 4,000–4,4…  G1 Low          400      174      43.5%      8.70       28/08/2026 20:49:22…
Perlengkapan Rumah → Home Organizer / 4,000–4,4…  G2 Medium       400      168      42.0%      8.40       28/08/2026 21:06:13…
Perlengkapan Rumah → Home Organizer / 4,000–4,4…  G3 High         400      67       16.8%      3.35       29/08/2026 06:16:46…
Perlengkapan Rumah → Home Organizer / 4,625–4,7…  G1 Low          400      118      29.5%      5.90       29/08/2026 01:15:21…
Perlengkapan Rumah → Home Organizer / 4,625–4,7…  G2 Medium       225      8        3.6%       0.67       29/08/2026 03:24:16…
Perlengkapan Rumah → Home Organizer / 7,500–9,9…  G1 Low          400      123      30.8%      6.15       29/08/2026 05:21:13…
Perlengkapan Rumah → Home Organizer / 7,500–9,9…  G2 Medium       400      80       20.0%      4.00       29/08/2026 06:58:53…
Perlengkapan Rumah → Home Organizer / 7,500–9,9…  G3 High         400      20       5.0%       1.00       29/08/2026 09:04:56…
